budget_usd,employees_impacted,duration_months,risk_level,risk_numeric,success
331601,56,19,high,3,0
258261,103,5,medium,2,1
290181,247,22,low,1,1
391097,455,17,high,3,1
365139,462,17,medium,2,1
221829,213,16,medium,2,1
321836,409,16,medium,2,1
488974,227,4,high,3,1
252283,483,15,low,1,1
246769,441,16,high,3,1
87065,350,21,high,3,1
273165,48,9,low,1,1
149299,109,5,low,1,1
475822,298,17,low,1,1
61534,263,16,medium,2,1
90397,231,13,low,1,1
307750,366,17,high,3,1
403531,32,15,low,1,0
313160,259,20,high,3,1
105591,19,8,medium,2,0
270884,255,5,high,3,1
73247,334,21,high,3,1
74300,109,17,low,1,1
132798,299,7,low,1,1
59268,189,12,high,3,1
398951,232,9,low,1,1
324329,403,19,medium,2,1
244776,259,9,medium,2,1
267851,156,14,low,1,1
482315,451,19,medium,2,1
451787,105,15,low,1,1
286584,266,22,high,3,1
88044,334,6,high,3,1
363358,13,12,medium,2,0
426896,25,5,low,1,0
98984,289,11,low,1,1
352918,345,15,medium,2,1
314712,256,20,high,3,1
170151,267,17,medium,2,1
183767,485,6,high,3,1
174375,393,17,low,1,1
229262,169,4,high,3,1
186330,484,17,medium,2,1
351648,349,10,low,1,1
214231,161,10,medium,2,1
63986,405,19,medium,2,1
111858,187,14,high,3,1
179312,172,21,medium,2,1
62666,389,12,high,3,1
350804,42,11,low,1,0
184633,426,7,high,3,1
338998,454,8,low,1,1
376649,188,22,high,3,1
154488,436,4,medium,2,1
233323,110,15,high,3,1
334806,277,8,high,3,1
320536,332,7,low,1,1
80535,74,3,medium,2,1
425713,426,23,high,3,1
364400,177,23,medium,2,1
401279,339,8,high,3,1
439622,52,8,high,3,0
347366,53,18,medium,2,0
127373,294,6,high,3,1
173684,406,13,medium,2,1
323109,21,11,high,3,0
74538,104,5,low,1,1
420210,311,21,medium,2,1
251664,395,10,high,3,1
425396,262,7,high,3,1
189182,251,6,low,1,1
208338,44,8,medium,2,0
234064,224,4,high,3,1
264020,346,22,low,1,1
148806,99,13,high,3,1
450126,273,6,medium,2,1
423133,102,17,high,3,0
140982,419,8,high,3,1
171626,467,19,high,3,1
169176,99,8,high,3,1
443422,427,21,low,1,1
268126,124,4,low,1,1
268969,114,17,medium,2,1
172409,400,13,low,1,1
73419,205,10,low,1,1
493852,323,21,medium,2,1
303618,123,15,low,1,1
295310,84,14,low,1,1
100015,422,7,medium,2,1
298550,385,8,medium,2,1
172096,429,6,medium,2,1
157059,226,21,high,3,1
235340,286,22,high,3,1
160687,258,3,medium,2,1
400083,173,22,medium,2,1
461357,403,19,medium,2,1
261428,366,14,high,3,1
155878,466,17,high,3,1
252982,417,3,low,1,1
499260,201,16,low,1,1
248286,236,8,medium,2,1
299002,186,7,high,3,1
300396,108,13,high,3,0
214899,45,6,high,3,0
499036,475,15,medium,2,1
374767,496,13,low,1,1
387594,105,5,medium,2,1
405570,161,3,low,1,1
429989,160,8,low,1,1
465515,199,20,medium,2,1
93585,233,12,low,1,1
421369,46,7,low,1,0
114044,277,12,high,3,1
485773,378,14,low,1,1
492296,192,4,medium,2,1
159556,22,15,medium,2,0
52693,288,10,low,1,1
407403,226,4,high,3,1
293307,364,22,high,3,1
250235,370,3,low,1,1
75939,295,7,low,1,1
492141,282,11,medium,2,1
486157,378,19,low,1,1
202906,71,11,high,3,0
68047,93,13,low,1,1
338249,377,17,medium,2,1
125766,226,8,medium,2,1
458923,351,5,medium,2,1
465192,406,19,medium,2,1
94262,196,7,medium,2,1
437261,28,14,low,1,0
335920,186,20,low,1,1
211152,109,16,low,1,1
178376,405,23,low,1,1
187848,454,13,medium,2,1
142787,242,11,high,3,1
177948,412,4,low,1,1
105016,85,14,high,3,1
452690,274,5,low,1,1
71959,464,5,low,1,1
186602,293,3,high,3,1
275928,215,10,medium,2,1
431245,232,10,low,1,1
315892,393,13,low,1,1
278576,61,11,low,1,1
63545,348,7,high,3,1
439803,376,16,medium,2,1
215838,153,5,high,3,1
385674,382,23,high,3,1
405701,78,7,medium,2,0
111087,108,7,high,3,1
118840,405,21,medium,2,1
168451,34,16,low,1,1
497600,445,6,medium,2,1
363149,388,15,low,1,1
489792,478,12,high,3,1
89353,493,20,high,3,1
243075,62,10,low,1,1
264283,160,10,high,3,1
364877,153,9,medium,2,1
115318,66,10,low,1,1
291025,48,16,high,3,0
466880,118,21,low,1,1
117172,190,8,medium,2,1
266688,51,3,medium,2,0
306951,195,17,high,3,1
143264,432,3,medium,2,1
296458,407,19,low,1,1
338880,232,3,medium,2,1
275281,131,17,low,1,1
162859,142,4,low,1,1
424325,172,16,medium,2,1
444070,224,23,high,3,1
402228,230,10,medium,2,1
481839,244,10,low,1,1
319536,340,21,low,1,1
367824,155,9,medium,2,1
307426,248,21,high,3,1
227789,85,8,high,3,0
268164,18,8,low,1,0
363003,83,5,low,1,1
175657,451,9,high,3,1
285167,410,21,medium,2,1
207381,262,10,low,1,1
244806,239,12,low,1,1
120467,16,22,high,3,0
233734,183,17,medium,2,1
148506,150,17,high,3,1
159751,177,3,medium,2,1
431050,179,22,medium,2,1
455904,402,9,medium,2,1
337486,443,6,low,1,1
218229,292,8,high,3,1
418452,131,3,high,3,0
495299,203,7,medium,2,1
156081,14,3,low,1,0
139045,38,6,low,1,1
84698,174,4,high,3,1
160078,431,12,low,1,1
392767,348,7,low,1,1
72671,145,12,medium,2,1
468400,374,3,low,1,1
405528,330,8,medium,2,1
485323,351,15,high,3,1
136202,154,17,low,1,1
101663,336,6,high,3,1
65708,226,15,high,3,1
404050,310,22,low,1,1
361955,141,17,low,1,1
183883,301,10,high,3,1
368394,79,7,low,1,1
162547,261,17,medium,2,1
436393,424,6,medium,2,1
84754,284,14,low,1,1
276814,454,15,high,3,1
287714,373,4,low,1,1
192483,191,21,low,1,1
183983,176,21,high,3,1
264835,100,6,high,3,0
451896,211,6,medium,2,1
134896,355,13,high,3,1
121295,28,7,medium,2,0
269686,48,22,high,3,0
412833,135,13,low,1,1
323255,460,12,medium,2,1
349648,182,10,medium,2,1
182874,150,8,medium,2,1
58155,251,8,low,1,1
351528,229,10,low,1,1
424705,135,17,low,1,1
97254,67,16,low,1,1
334062,157,13,low,1,1
135981,485,14,medium,2,1
80306,465,15,low,1,1
197718,326,10,medium,2,1
358987,392,20,low,1,1
170975,370,3,high,3,1
408745,432,17,medium,2,1
157512,10,10,high,3,0
197443,396,13,medium,2,1
423616,470,14,high,3,1
183121,357,14,low,1,1
212688,199,6,low,1,1
415871,200,18,low,1,1
425037,378,6,medium,2,1
333076,418,7,high,3,1
167796,321,7,low,1,1
341999,426,10,high,3,1
242506,431,12,high,3,1
224088,126,19,low,1,1
319544,143,11,low,1,1
430002,67,21,high,3,0
223714,53,16,low,1,1
65151,182,10,low,1,1
494623,169,11,low,1,1
116690,182,13,medium,2,1
54499,326,3,high,3,1
56295,312,16,high,3,1
433029,158,7,medium,2,1
438215,89,23,high,3,0
371184,383,16,low,1,1
324327,222,6,high,3,1
472515,212,3,low,1,1
193946,261,21,medium,2,1
428480,238,10,low,1,1
82711,173,17,high,3,1
317683,236,23,high,3,1
234423,156,17,high,3,1
229426,29,11,medium,2,0
438207,450,23,medium,2,1
183629,411,11,high,3,1
350504,56,12,low,1,1
263090,242,22,medium,2,1
183272,314,23,high,3,1
293548,23,11,high,3,0
228047,152,5,medium,2,1
333501,424,22,medium,2,1
169121,10,13,medium,2,0
127505,382,8,low,1,1
52869,63,4,low,1,1
307186,383,9,high,3,1
362252,268,20,medium,2,1
162296,153,4,low,1,1
144179,480,19,medium,2,1
140272,450,13,high,3,1
88467,468,14,low,1,1
335472,21,21,low,1,0
403556,339,9,low,1,1
185059,233,22,high,3,1
108871,281,8,medium,2,1
465615,465,23,low,1,1
178391,367,3,high,3,1
489430,469,19,medium,2,1
136416,417,13,high,3,1
382415,165,20,medium,2,1
356208,382,23,high,3,1
306687,17,19,medium,2,0
251163,131,9,low,1,1
157450,357,19,medium,2,1
221890,173,22,high,3,1
488741,99,11,high,3,0
331974,145,19,medium,2,1
460645,195,22,low,1,1
450109,325,10,low,1,1
166381,187,19,medium,2,1
97333,37,9,medium,2,1
184508,229,3,high,3,1
255362,366,15,low,1,1
388357,50,21,medium,2,0
449111,237,21,low,1,1
200810,201,19,medium,2,1
342890,420,15,medium,2,1
99377,456,18,low,1,1
491620,154,10,medium,2,1
366189,210,21,medium,2,1
410032,426,20,high,3,1
483006,221,3,medium,2,1
419599,470,16,medium,2,1
186672,229,21,medium,2,1
275732,249,17,high,3,1
405323,422,20,low,1,1
221836,406,4,high,3,1
255615,55,19,high,3,0
95714,44,20,low,1,1
152946,262,8,high,3,1
421760,399,21,low,1,1
155983,91,6,high,3,1
237563,380,3,low,1,1
174123,265,10,medium,2,1
461805,206,9,high,3,1
355628,312,5,high,3,1
132989,418,12,high,3,1
348356,459,12,high,3,1
355669,19,21,medium,2,0
228274,321,16,high,3,1
213707,295,4,medium,2,1
375352,251,3,medium,2,1
345972,260,20,medium,2,1
461927,374,9,medium,2,1
315564,14,10,low,1,0
408896,128,3,low,1,1
181373,298,5,high,3,1
488452,383,10,low,1,1
165294,74,17,low,1,1
497456,155,7,high,3,0
174019,233,5,high,3,1
115726,248,21,high,3,1
191564,186,3,low,1,1
427812,276,17,low,1,1
318246,350,10,high,3,1
231408,291,4,medium,2,1
168015,72,5,high,3,1
266386,226,16,medium,2,1
304079,351,16,medium,2,1
76641,324,13,high,3,1
215656,292,18,high,3,1
213817,186,6,high,3,1
466309,470,22,low,1,1
415890,426,7,medium,2,1
495101,107,23,low,1,1
86631,114,16,low,1,1
292289,108,18,high,3,0
122991,394,20,low,1,1
54014,414,9,high,3,1
323237,320,12,medium,2,1
68070,15,9,high,3,0
347921,485,3,low,1,1
106958,474,23,low,1,1
132074,206,21,high,3,1
60729,360,18,high,3,1
280785,142,21,low,1,1
226089,367,6,medium,2,1
247392,268,20,medium,2,1
208823,446,4,high,3,1
155864,32,3,medium,2,0
443002,494,17,low,1,1
259141,62,7,high,3,0
417654,174,22,low,1,1
104748,211,13,low,1,1
55801,467,12,medium,2,1
200262,92,4,high,3,1
492905,154,5,high,3,0
285362,94,14,medium,2,1
494209,87,22,low,1,1
79592,466,7,low,1,1
322791,375,7,low,1,1
189788,10,8,low,1,0
269963,60,11,high,3,0
298710,182,4,high,3,1
270984,214,23,medium,2,1
422771,269,14,medium,2,1
382460,455,5,high,3,1
308067,458,22,high,3,1
314512,378,14,low,1,1
127575,497,19,low,1,1
318799,297,12,medium,2,1
287549,43,16,high,3,0
120031,357,19,medium,2,1
137922,104,20,high,3,1
498982,81,21,low,1,1
174046,48,19,medium,2,1
456619,163,16,medium,2,1
82097,259,11,high,3,1
192038,171,10,low,1,1
174862,447,4,medium,2,1
280229,127,15,low,1,1
168834,268,9,medium,2,1
143848,388,11,low,1,1
102921,315,13,high,3,1
230798,277,16,medium,2,1
176141,458,6,medium,2,1
231372,63,15,low,1,1
334821,245,4,low,1,1
105609,398,7,medium,2,1
277897,487,13,high,3,1
499877,231,8,low,1,1
81024,260,20,low,1,1
120313,322,23,low,1,1
439957,410,12,medium,2,1
